Test File,Processes,Run,Computation Time (s),Matches Sequential
800k_100.inp,2,3,91.657458,Yes
800k_100.inp,2,4,92.110242,Yes
800k_100.inp,2,5,92.234491,Yes
800k_100.inp,4,1,46.127191,Yes
800k_100.inp,4,2,47.285442,Yes
800k_100.inp,4,3,47.260668,Yes
800k_100.inp,4,4,47.347175,Yes
800k_100.inp,4,5,46.965845,Yes
800k_100.inp,8,1,23.911367,Yes
800k_100.inp,8,2,23.926913,Yes
800k_100.inp,8,3,23.950991,Yes
800k_100.inp,8,4,24.315147,Yes
800k_100.inp,8,5,24.260304,Yes
800k_100.inp,16,1,12.421435,Yes
800k_100.inp,16,2,12.209598,Yes
800k_100.inp,16,3,12.324851,Yes
800k_100.inp,16,4,12.279708,Yes
800k_100.inp,16,5,12.352584,Yes
800k_100.inp,32,1,6.543948,Yes
800k_100.inp,32,2,6.4978,Yes
800k_100.inp,32,3,6.498262,Yes
800k_100.inp,32,4,6.505472,Yes
800k_100.inp,32,5,6.496022,Yes
800k_100.inp,64,1,4.312857,Yes
800k_100.inp,64,2,4.469698,Yes
800k_100.inp,64,3,4.084939,Yes
800k_100.inp,64,4,4.150738,Yes
800k_100.inp,64,5,4.249355,Yes
1600k_100.inp,2,1,137.743433,Yes
1600k_100.inp,2,2,143.456553,Yes
1600k_100.inp,2,3,137.441567,Yes
1600k_100.inp,2,4,137.429354,Yes
1600k_100.inp,2,5,137.304934,Yes
1600k_100.inp,4,1,69.872927,Yes
1600k_100.inp,4,2,71.482988,Yes
1600k_100.inp,4,3,70.020999,Yes
1600k_100.inp,4,4,69.523324,Yes
1600k_100.inp,4,5,69.838651,Yes
1600k_100.inp,8,1,35.935393,Yes
1600k_100.inp,8,2,35.583637,Yes
1600k_100.inp,8,3,35.257185,Yes
1600k_100.inp,8,4,35.231925,Yes
1600k_100.inp,8,5,35.498813,Yes
1600k_100.inp,16,1,18.182431,Yes
1600k_100.inp,16,2,18.00875,Yes
1600k_100.inp,16,3,17.895352,Yes
1600k_100.inp,16,4,17.991403,Yes
1600k_100.inp,16,5,18.02575,Yes
1600k_100.inp,32,1,9.656386,Yes
1600k_100.inp,32,2,10.154807,Yes
1600k_100.inp,32,3,9.910127,Yes
1600k_100.inp,32,4,9.878768,Yes
1600k_100.inp,32,5,9.993368,Yes
1600k_100.inp,64,1,5.810009,Yes
1600k_100.inp,64,2,5.749563,Yes
1600k_100.inp,64,3,5.544656,Yes
1600k_100.inp,64,4,5.704104,Yes
1600k_100.inp,64,5,5.85599,Yes
