Test File;Processes;Threads;Min;Q1;Median;Q3;Max;Average;Std Dev;Matches Sequential
input2D.inp;2;8;0.0064;0.0064;0.0080;0.0106;0.0127;0.0084;0.0023;Yes
input2D.inp;2;16;0.0098;0.0145;0.0194;0.0374;0.0414;0.0246;0.0113;Yes
input2D.inp;2;32;0.0157;0.0198;0.0272;0.0486;0.0619;0.0328;0.0159;Yes
input2D.inp;4;2;0.0077;0.0077;0.0078;0.0084;0.0085;0.0080;0.0004;Yes
input2D.inp;4;4;0.0074;0.0076;0.0079;0.0080;0.0081;0.0078;0.0002;Yes
input2D.inp;4;8;0.0090;0.0096;0.0141;0.0290;0.0298;0.0183;0.0089;Yes
input2D.inp;4;16;0.0257;0.0324;0.0427;0.0572;0.0595;0.0444;0.0120;Yes
input2D.inp;4;32;0.0416;0.0498;0.0627;0.0668;0.0697;0.0592;0.0095;Yes
input2D.inp;8;2;0.0100;0.0101;0.0105;0.0105;0.0106;0.0103;0.0002;Yes
input2D.inp;8;4;0.0099;0.0101;0.0109;0.0114;0.0118;0.0107;0.0006;Yes
input2D.inp;8;8;0.0129;0.0129;0.0141;0.0253;0.0353;0.0181;0.0086;Yes
input2D.inp;8;16;0.0366;0.0402;0.0541;0.0628;0.0643;0.0520;0.0104;Yes
input2D.inp;8;32;0.0680;0.0680;0.0683;0.0752;0.0756;0.0709;0.0035;Yes
100k_100.inp;2;2;5.1150;5.1200;5.1269;5.1538;5.1605;5.1349;0.0165;Yes
100k_100.inp;2;4;2.5697;2.5715;2.5734;5.2788;7.9811;3.6548;2.1632;Yes
100k_100.inp;2;8;1.2896;1.2911;1.2941;1.2994;1.3008;1.2950;0.0040;Yes
100k_100.inp;2;16;0.6719;0.6750;0.6874;0.7084;0.7133;0.6908;0.0155;Yes
100k_100.inp;2;32;0.7451;0.7484;0.7526;0.7587;0.7637;0.7534;0.0060;Yes
100k_100.inp;4;2;2.5658;2.5658;2.5666;3.1422;3.7121;2.7965;0.4578;Yes
100k_100.inp;4;4;1.2916;1.2917;1.2926;1.2956;1.2972;1.2935;0.0021;Yes
100k_100.inp;4;8;0.6610;0.6623;0.6640;0.6667;0.6669;0.6644;0.0021;Yes
100k_100.inp;4;16;0.3628;0.3660;0.3708;0.3793;0.3870;0.3723;0.0080;Yes
100k_100.inp;4;32;0.4232;0.4246;0.4291;0.4329;0.4361;0.4288;0.0043;Yes
100k_100.inp;8;2;1.5469;1.5592;1.5809;1.6430;1.7025;1.5970;0.0543;Yes
100k_100.inp;8;4;0.8450;0.8619;0.8947;0.9198;0.9328;0.8916;0.0292;Yes
100k_100.inp;8;8;0.4810;0.4857;0.4969;0.5068;0.5104;0.4964;0.0102;Yes
100k_100.inp;8;16;0.3011;0.3039;0.3089;0.3148;0.3179;0.3092;0.0055;Yes
100k_100.inp;8;32;0.3007;0.3031;0.3092;0.3205;0.3298;0.3113;0.0099;Yes
200k_100.inp;2;2;12.0992;12.1187;12.2997;12.6529;12.8120;12.3686;0.2618;Yes
200k_100.inp;2;4;5.8583;5.8928;6.7226;6.7449;6.7594;6.3996;0.4146;Yes
200k_100.inp;2;8;2.9410;2.9448;2.9510;2.9558;2.9569;2.9505;0.0055;Yes
200k_100.inp;2;16;1.5317;1.5333;1.5421;1.5672;1.5723;1.5486;0.0159;Yes
200k_100.inp;2;32;1.0665;1.0676;1.0881;1.1038;1.1038;1.0862;0.0162;Yes
200k_100.inp;4;2;5.8774;5.8808;5.9191;6.0134;6.0594;5.9415;0.0670;Yes
200k_100.inp;4;4;2.9597;2.9935;3.0915;3.1049;3.1122;3.0577;0.0570;Yes
200k_100.inp;4;8;1.6176;1.6288;1.6442;1.6681;1.6782;1.6476;0.0201;Yes
200k_100.inp;4;16;0.9346;0.9485;0.9679;0.9711;0.9735;0.9614;0.0139;Yes
200k_100.inp;4;32;0.6877;0.6963;0.7308;0.8073;0.8129;0.7476;0.0507;Yes
200k_100.inp;8;2;3.2453;3.2647;3.3991;3.4911;3.5766;3.3821;0.1158;Yes
200k_100.inp;8;4;1.7342;1.7656;1.8190;1.8984;1.9455;1.8294;0.0695;Yes
200k_100.inp;8;8;1.0461;1.0573;1.0692;1.1113;1.1152;1.0813;0.0260;Yes
200k_100.inp;8;16;0.5977;0.6024;0.6195;0.6906;0.7539;0.6411;0.0573;Yes
200k_100.inp;8;32;0.5160;0.5169;0.5197;0.5405;0.5504;0.5269;0.0128;Yes
400k_100.inp;2;2;21.0488;21.0638;21.0924;21.2837;21.4435;21.1575;0.1450;Yes
400k_100.inp;2;4;10.6501;10.6740;10.9025;12.1050;12.1499;11.2921;0.6697;Yes
400k_100.inp;2;8;5.9138;5.9240;6.0334;6.3084;6.5277;6.0996;0.2234;Yes
400k_100.inp;2;16;2.8147;2.8480;2.9879;3.2739;3.4789;3.0464;0.2332;Yes
400k_100.inp;2;32;1.9626;2.0165;2.3545;2.7086;3.0421;2.3610;0.3761;Yes
400k_100.inp;4;2;10.6198;10.6411;10.6631;10.6856;10.6857;10.6633;0.0240;Yes
400k_100.inp;4;4;5.6038;5.6519;5.8987;6.1997;6.3482;5.9204;0.2644;Yes
400k_100.inp;4;8;3.2874;3.3162;3.3866;3.4786;3.4998;3.3952;0.0762;Yes
400k_100.inp;4;16;1.7737;1.7929;1.8147;1.8641;1.8739;1.8258;0.0351;Yes
400k_100.inp;4;32;1.3229;1.3459;1.4265;2.4632;3.4322;1.8089;0.8137;Yes
400k_100.inp;8;2;5.4828;5.5670;5.6628;5.7588;5.7619;5.6629;0.1010;Yes
400k_100.inp;8;4;3.0920;3.0962;3.1117;3.1295;3.1402;3.1126;0.0166;Yes
400k_100.inp;8;8;1.8358;1.8476;1.8595;1.9037;1.9291;1.8724;0.0314;Yes
400k_100.inp;8;16;1.1296;1.1479;1.1788;1.1969;1.2080;1.1737;0.0259;Yes
400k_100.inp;8;32;0.9596;0.9648;0.9853;1.0289;1.0381;0.9946;0.0298;Yes
800k_100.inp;2;2;45.9531;46.0546;46.7931;48.3823;48.7704;47.1334;1.0848;Yes
800k_100.inp;2;4;22.9844;23.0987;23.3461;24.5836;25.8195;23.7421;1.0471;Yes
800k_100.inp;2;8;11.8131;11.8216;11.8537;13.0874;14.2676;12.3344;0.9672;Yes
800k_100.inp;2;16;7.2370;7.2691;7.3517;7.5503;7.6730;7.3981;0.1510;Yes
800k_100.inp;2;32;3.8118;4.0978;4.4264;4.4740;4.4793;4.3140;0.2533;Yes
800k_100.inp;4;2;22.9724;23.0456;23.1245;23.2150;23.2645;23.1292;0.0942;Yes
800k_100.inp;4;4;12.9407;12.9605;12.9845;13.1811;13.2697;13.0536;0.1193;Yes
800k_100.inp;4;8;7.0944;7.1218;7.2236;7.2890;7.3044;7.2091;0.0777;Yes
800k_100.inp;4;16;3.8348;4.0197;4.2552;4.4409;4.5715;4.2353;0.2368;Yes
800k_100.inp;4;32;2.7917;2.8191;2.9533;3.2324;3.4625;3.0112;0.2377;Yes
800k_100.inp;8;2;11.8411;11.8526;11.9769;12.1534;12.2402;11.9978;0.1459;Yes
800k_100.inp;8;4;6.6305;6.6945;6.8370;6.9056;6.9120;6.8075;0.1039;Yes
800k_100.inp;8;8;3.7712;3.7881;3.8608;3.8934;3.9253;3.8448;0.0529;Yes
800k_100.inp;8;16;2.2054;2.2165;2.2508;2.2553;2.2567;2.2389;0.0197;Yes
800k_100.inp;8;32;1.6305;1.6368;1.6924;1.8533;2.0012;1.7345;0.1363;Yes
1600k_100.inp;2;2;68.9233;68.9766;69.2749;70.1465;70.7813;69.5043;0.6702;Yes
