Test File,Processes,Threads,Run,Computation Time (s),Matches Sequential
input100D2.inp,2,2,1,13.99884,Yes
input100D2.inp,2,2,2,14.15475,Yes
input100D2.inp,2,2,3,14.083022,Yes
input100D2.inp,2,2,4,14.192512,Yes
input100D2.inp,2,2,5,14.122755,Yes
input100D2.inp,2,4,1,7.170416,Yes
input100D2.inp,2,4,2,7.225765,Yes
input100D2.inp,2,4,3,7.131191,Yes
input100D2.inp,2,4,4,7.029193,Yes
input100D2.inp,2,4,5,7.028839,Yes
input100D2.inp,2,8,1,4.016355,Yes
input100D2.inp,2,8,2,3.952435,Yes
input100D2.inp,2,8,3,4.000653,Yes
input100D2.inp,2,8,4,3.821134,Yes
input100D2.inp,2,8,5,3.771936,Yes
input100D2.inp,2,16,1,2.234571,Yes
input100D2.inp,2,16,2,2.277613,Yes
input100D2.inp,2,16,3,2.353501,Yes
input100D2.inp,2,16,4,2.299004,Yes
input100D2.inp,2,16,5,2.308138,Yes
input100D2.inp,2,32,1,1.319366,Yes
input100D2.inp,2,32,2,1.287259,Yes
input100D2.inp,2,32,3,1.271424,Yes
input100D2.inp,2,32,4,1.384748,Yes
input100D2.inp,2,32,5,1.352006,Yes
input100D2.inp,4,2,1,7.716331,Yes
input100D2.inp,4,2,2,7.817917,Yes
input100D2.inp,4,2,3,7.022663,Yes
input100D2.inp,4,2,4,7.067528,Yes
input100D2.inp,4,2,5,7.858044,Yes
input100D2.inp,4,4,1,4.325908,Yes
input100D2.inp,4,4,2,4.059435,Yes
input100D2.inp,4,4,3,4.362388,Yes
input100D2.inp,4,4,4,4.278281,Yes
input100D2.inp,4,4,5,3.639634,Yes
input100D2.inp,4,8,1,1.945864,Yes
input100D2.inp,4,8,2,2.416858,Yes
input100D2.inp,4,8,3,2.454291,Yes
input100D2.inp,4,8,4,2.49231,Yes
input100D2.inp,4,8,5,2.083925,Yes
input100D2.inp,4,16,1,1.163764,Yes
input100D2.inp,4,16,2,1.184207,Yes
input100D2.inp,4,16,3,1.208809,Yes
input100D2.inp,4,16,4,1.19248,Yes
input100D2.inp,4,16,5,1.208553,Yes
input100D2.inp,4,32,1,0.746897,Yes
input100D2.inp,4,32,2,0.704052,Yes
input100D2.inp,4,32,3,0.747228,Yes
input100D2.inp,4,32,4,0.752006,Yes
input100D2.inp,4,32,5,0.733306,Yes
input100D2.inp,8,2,1,3.918094,Yes
input100D2.inp,8,2,2,3.900912,Yes
input100D2.inp,8,2,3,4.140016,Yes
input100D2.inp,8,2,4,4.08003,Yes
input100D2.inp,8,2,5,4.01112,Yes
input100D2.inp,8,4,1,2.199377,Yes
input100D2.inp,8,4,2,2.121526,Yes
input100D2.inp,8,4,3,1.89651,Yes
input100D2.inp,8,4,4,2.147224,Yes
input100D2.inp,8,4,5,1.993411,Yes
input100D2.inp,8,8,1,1.105985,Yes
input100D2.inp,8,8,2,1.114733,Yes
input100D2.inp,8,8,3,1.137949,Yes
input100D2.inp,8,8,4,1.152759,Yes
input100D2.inp,8,8,5,1.0777,Yes
input100D2.inp,8,16,1,0.696436,Yes
input100D2.inp,8,16,2,0.63686,Yes
input100D2.inp,8,16,3,0.679632,Yes
input100D2.inp,8,16,4,0.700828,Yes
input100D2.inp,8,16,5,0.639732,Yes
input100D2.inp,8,32,1,0.525879,Yes
input100D2.inp,8,32,2,0.606378,Yes
input100D2.inp,8,32,3,0.590312,Yes
input100D2.inp,8,32,4,0.592655,Yes
input100D2.inp,8,32,5,0.561976,Yes
input100D.inp,2,2,1,0.265849,Yes
input100D.inp,2,2,2,0.265526,Yes
