Test File,Processes,Threads,Run,Computation Time (s),Matches Sequential
input100D.inp,2,2,3,0.269571,Yes
input100D.inp,2,2,4,0.267246,Yes
input100D.inp,2,2,5,0.270424,Yes
input100D.inp,2,4,1,0.143509,Yes
input100D.inp,2,4,2,0.156158,Yes
input100D.inp,2,4,3,0.15781,Yes
input100D.inp,2,4,4,0.142483,Yes
input100D.inp,2,4,5,0.169442,Yes
input100D.inp,2,8,1,0.100185,Yes
input100D.inp,2,8,2,0.099282,Yes
input100D.inp,2,8,3,0.095221,Yes
input100D.inp,2,8,4,0.096133,Yes
input100D.inp,2,8,5,0.088428,Yes
input100D.inp,2,16,1,0.053235,Yes
input100D.inp,2,16,2,0.053054,Yes
input100D.inp,2,16,3,0.058585,Yes
input100D.inp,2,16,4,0.066046,Yes
input100D.inp,2,16,5,0.065473,Yes
input100D.inp,2,32,1,0.052748,Yes
input100D.inp,2,32,2,0.054871,Yes
input100D.inp,2,32,3,0.036785,Yes
input100D.inp,2,32,4,0.044152,Yes
input100D.inp,2,32,5,0.066655,Yes
input100D.inp,4,2,1,0.151371,Yes
input100D.inp,4,2,2,0.164492,Yes
input100D.inp,4,2,3,0.16867,Yes
input100D.inp,4,2,4,0.160071,Yes
input100D.inp,4,2,5,0.147964,Yes
input100D.inp,4,4,1,0.091625,Yes
input100D.inp,4,4,2,0.094793,Yes
input100D.inp,4,4,3,0.09933,Yes
input100D.inp,4,4,4,0.099997,Yes
input100D.inp,4,4,5,0.09379,Yes
input100D.inp,4,8,1,0.061965,Yes
input100D.inp,4,8,2,0.058283,Yes
input100D.inp,4,8,3,0.057453,Yes
input100D.inp,4,8,4,0.06739,Yes
input100D.inp,4,8,5,0.061494,Yes
input100D.inp,4,16,1,0.049305,Yes
input100D.inp,4,16,2,0.042911,Yes
input100D.inp,4,16,3,0.051048,Yes
input100D.inp,4,16,4,0.043741,Yes
input100D.inp,4,16,5,0.061808,Yes
input100D.inp,4,32,1,0.084881,Yes
input100D.inp,4,32,2,0.081683,Yes
input100D.inp,4,32,3,0.054775,Yes
input100D.inp,4,32,4,0.041385,Yes
input100D.inp,4,32,5,0.114594,Yes
input100D.inp,8,2,1,0.091308,Yes
input100D.inp,8,2,2,0.089099,Yes
input100D.inp,8,2,3,0.082716,Yes
input100D.inp,8,2,4,0.091863,Yes
input100D.inp,8,2,5,0.088363,Yes
input100D.inp,8,4,1,0.060222,Yes
input100D.inp,8,4,2,0.067928,Yes
input100D.inp,8,4,3,0.061795,Yes
input100D.inp,8,4,4,0.065259,Yes
input100D.inp,8,4,5,0.062884,Yes
input100D.inp,8,8,1,0.050151,Yes
input100D.inp,8,8,2,0.057877,Yes
input100D.inp,8,8,3,0.053718,Yes
input100D.inp,8,8,4,0.048061,Yes
input100D.inp,8,8,5,0.046183,Yes
input100D.inp,8,16,1,0.044964,Yes
input100D.inp,8,16,2,0.04289,Yes
input100D.inp,8,16,3,0.069366,Yes
input100D.inp,8,16,4,0.057977,Yes
input100D.inp,8,16,5,0.044214,Yes
input100D.inp,8,32,1,0.072453,Yes
input100D.inp,8,32,2,0.09707,Yes
input100D.inp,8,32,3,0.084029,Yes
input100D.inp,8,32,4,0.083857,Yes
input100D.inp,8,32,5,0.214683,Yes
input10D.inp,2,2,1,0.005773,Yes
input10D.inp,2,2,2,0.005761,Yes
input10D.inp,2,2,3,0.005853,Yes
input10D.inp,2,2,4,0.00579,Yes
input10D.inp,2,2,5,0.005818,Yes
input10D.inp,2,4,1,0.004862,Yes
input10D.inp,2,4,2,0.005695,Yes
input10D.inp,2,4,3,0.005041,Yes
input10D.inp,2,4,4,0.005682,Yes
input10D.inp,2,4,5,0.004932,Yes
input10D.inp,2,8,1,0.008921,Yes
input10D.inp,2,8,2,0.011697,Yes
input10D.inp,2,8,3,0.008154,Yes
input10D.inp,2,8,4,0.004805,Yes
input10D.inp,2,8,5,0.004807,Yes
input10D.inp,2,16,1,0.029349,Yes
input10D.inp,2,16,2,0.039102,Yes
input10D.inp,2,16,3,0.010047,Yes
input10D.inp,2,16,4,0.028645,Yes
input10D.inp,2,16,5,0.02782,Yes
input10D.inp,2,32,1,0.055556,Yes
input10D.inp,2,32,2,0.05623,Yes
input10D.inp,2,32,3,0.040817,Yes
input10D.inp,2,32,4,0.056767,Yes
input10D.inp,2,32,5,0.055138,Yes
input10D.inp,4,2,1,0.007224,Yes
input10D.inp,4,2,2,0.007139,Yes
input10D.inp,4,2,3,0.007161,Yes
input10D.inp,4,2,4,0.007055,Yes
input10D.inp,4,2,5,0.007565,Yes
input10D.inp,4,4,1,0.006968,Yes
input10D.inp,4,4,2,0.006628,Yes
input10D.inp,4,4,3,0.006978,Yes
input10D.inp,4,4,4,0.007312,Yes
input10D.inp,4,4,5,0.00684,Yes
input10D.inp,4,8,1,0.009398,Yes
input10D.inp,4,8,2,0.024987,Yes
input10D.inp,4,8,3,0.009707,Yes
input10D.inp,4,8,4,0.024003,Yes
input10D.inp,4,8,5,0.011436,Yes
input10D.inp,4,16,1,0.051569,Yes
input10D.inp,4,16,2,0.034551,Yes
input10D.inp,4,16,3,0.052681,Yes
input10D.inp,4,16,4,0.031295,Yes
input10D.inp,4,16,5,0.033687,Yes
input10D.inp,4,32,1,0.061683,Yes
input10D.inp,4,32,2,0.053217,Yes
input10D.inp,4,32,3,0.052424,Yes
input10D.inp,4,32,4,0.05653,Yes
input10D.inp,4,32,5,0.053712,Yes
input10D.inp,8,2,1,0.009261,Yes
input10D.inp,8,2,2,0.008742,Yes
input10D.inp,8,2,3,0.008539,Yes
input10D.inp,8,2,4,0.00897,Yes
input10D.inp,8,2,5,0.008854,Yes
input10D.inp,8,4,1,0.009401,Yes
input10D.inp,8,4,2,0.008466,Yes
input10D.inp,8,4,3,0.008808,Yes
input10D.inp,8,4,4,0.009001,Yes
input10D.inp,8,4,5,0.008265,Yes
input10D.inp,8,8,1,0.01145,Yes
input10D.inp,8,8,2,0.028284,Yes
input10D.inp,8,8,3,0.016629,Yes
input10D.inp,8,8,4,0.012405,Yes
input10D.inp,8,8,5,0.025975,Yes
input10D.inp,8,16,1,0.031525,Yes
input10D.inp,8,16,2,0.036334,Yes
input10D.inp,8,16,3,0.044085,Yes
input10D.inp,8,16,4,0.032983,Yes
input10D.inp,8,16,5,0.050478,Yes
input10D.inp,8,32,1,0.074222,Yes
input10D.inp,8,32,2,0.052305,Yes
input10D.inp,8,32,3,0.04944,Yes
input10D.inp,8,32,4,0.043789,Yes
input10D.inp,8,32,5,0.054011,Yes
input20D.inp,2,2,1,0.095025,Yes
input20D.inp,2,2,2,0.09442,Yes
input20D.inp,2,2,3,0.094334,Yes
input20D.inp,2,2,4,0.09422,Yes
input20D.inp,2,2,5,0.094934,Yes
input20D.inp,2,4,1,0.05163,Yes
input20D.inp,2,4,2,0.051944,Yes
input20D.inp,2,4,3,0.070143,Yes
input20D.inp,2,4,4,0.051638,Yes
input20D.inp,2,4,5,0.051405,Yes
input20D.inp,2,8,1,0.03799,Yes
input20D.inp,2,8,2,0.053632,Yes
input20D.inp,2,8,3,0.036119,Yes
input20D.inp,2,8,4,0.0394,Yes
input20D.inp,2,8,5,0.036023,Yes
input20D.inp,2,16,1,0.029586,Yes
input20D.inp,2,16,2,0.054875,Yes
input20D.inp,2,16,3,0.028517,Yes
input20D.inp,2,16,4,0.034077,Yes
input20D.inp,2,16,5,0.032712,Yes
input20D.inp,2,32,1,0.042134,Yes
input20D.inp,2,32,2,0.026237,Yes
input20D.inp,2,32,3,0.059036,Yes
input20D.inp,2,32,4,0.046933,Yes
input20D.inp,2,32,5,0.08267,Yes
input20D.inp,4,2,1,0.065367,Yes
input20D.inp,4,2,2,0.056976,Yes
input20D.inp,4,2,3,0.057258,Yes
input20D.inp,4,2,4,0.057371,Yes
input20D.inp,4,2,5,0.056819,Yes
input20D.inp,4,4,1,0.036302,Yes
input20D.inp,4,4,2,0.04096,Yes
input20D.inp,4,4,3,0.039324,Yes
input20D.inp,4,4,4,0.041609,Yes
input20D.inp,4,4,5,0.040641,Yes
input20D.inp,4,8,1,0.041544,Yes
input20D.inp,4,8,2,0.029256,Yes
input20D.inp,4,8,3,0.029226,Yes
input20D.inp,4,8,4,0.031498,Yes
input20D.inp,4,8,5,0.03125,Yes
input20D.inp,4,16,1,0.031412,Yes
input20D.inp,4,16,2,0.039012,Yes
input20D.inp,4,16,3,0.061507,Yes
input20D.inp,4,16,4,0.037445,Yes
input20D.inp,4,16,5,0.046948,Yes
input20D.inp,4,32,1,0.082722,Yes
input20D.inp,4,32,2,0.066311,Yes
input20D.inp,4,32,3,0.058316,Yes
input20D.inp,4,32,4,0.052951,Yes
input20D.inp,4,32,5,0.045452,Yes
input20D.inp,8,2,1,0.045117,Yes
input20D.inp,8,2,2,0.043824,Yes
input20D.inp,8,2,3,0.044097,Yes
input20D.inp,8,2,4,0.045615,Yes
input20D.inp,8,2,5,0.044337,Yes
input20D.inp,8,4,1,0.034608,Yes
input20D.inp,8,4,2,0.032527,Yes
input20D.inp,8,4,3,0.031953,Yes
input20D.inp,8,4,4,0.031842,Yes
input20D.inp,8,4,5,0.032525,Yes
input20D.inp,8,8,1,0.029843,Yes
input20D.inp,8,8,2,0.032206,Yes
input20D.inp,8,8,3,0.031139,Yes
input20D.inp,8,8,4,0.047773,Yes
input20D.inp,8,8,5,0.031264,Yes
input20D.inp,8,16,1,0.053698,Yes
input20D.inp,8,16,2,0.048932,Yes
input20D.inp,8,16,3,0.046392,Yes
input20D.inp,8,16,4,0.046958,Yes
input20D.inp,8,16,5,0.048174,Yes
input20D.inp,8,32,1,0.074227,Yes
input20D.inp,8,32,2,0.098668,Yes
input20D.inp,8,32,3,0.073293,Yes
input20D.inp,8,32,4,0.098025,Yes
input20D.inp,8,32,5,0.055344,Yes
input2D.inp,2,2,1,0.00629,Yes
input2D.inp,2,2,2,0.006159,Yes
input2D.inp,2,2,3,0.006543,Yes
input2D.inp,2,2,4,0.006377,Yes
input2D.inp,2,2,5,0.006807,Yes
input2D.inp,2,4,1,0.005904,Yes
input2D.inp,2,4,2,0.005561,Yes
input2D.inp,2,4,3,0.005901,Yes
input2D.inp,2,4,4,0.00556,Yes
input2D.inp,2,4,5,0.005421,Yes
input2D.inp,2,8,1,0.006473,Yes
input2D.inp,2,8,2,0.01274,Yes
input2D.inp,2,8,3,0.00802,Yes
input2D.inp,2,8,4,0.006397,Yes
input2D.inp,2,8,5,0.008443,Yes
input2D.inp,2,16,1,0.033444,Yes
input2D.inp,2,16,2,0.041369,Yes
input2D.inp,2,16,3,0.019137,Yes
input2D.inp,2,16,4,0.019402,Yes
input2D.inp,2,16,5,0.009845,Yes
input2D.inp,2,32,1,0.027197,Yes
input2D.inp,2,32,2,0.035219,Yes
input2D.inp,2,32,3,0.015672,Yes
input2D.inp,2,32,4,0.061889,Yes
input2D.inp,2,32,5,0.023881,Yes
input2D.inp,4,2,1,0.008306,Yes
input2D.inp,4,2,2,0.007743,Yes
input2D.inp,4,2,3,0.008539,Yes
input2D.inp,4,2,4,0.007661,Yes
input2D.inp,4,2,5,0.007752,Yes
input2D.inp,4,4,1,0.007889,Yes
input2D.inp,4,4,2,0.008131,Yes
input2D.inp,4,4,3,0.0074,Yes
input2D.inp,4,4,4,0.007866,Yes
input2D.inp,4,4,5,0.007763,Yes
input2D.inp,4,8,1,0.029837,Yes
input2D.inp,4,8,2,0.010319,Yes
input2D.inp,4,8,3,0.008968,Yes
input2D.inp,4,8,4,0.014145,Yes
input2D.inp,4,8,5,0.028192,Yes
input2D.inp,4,16,1,0.03899,Yes
input2D.inp,4,16,2,0.059466,Yes
input2D.inp,4,16,3,0.025743,Yes
input2D.inp,4,16,4,0.042695,Yes
input2D.inp,4,16,5,0.054943,Yes
input2D.inp,4,32,1,0.057987,Yes
input2D.inp,4,32,2,0.062695,Yes
input2D.inp,4,32,3,0.041608,Yes
input2D.inp,4,32,4,0.063842,Yes
input2D.inp,4,32,5,0.069667,Yes
input2D.inp,8,2,1,0.010028,Yes
input2D.inp,8,2,2,0.010508,Yes
input2D.inp,8,2,3,0.010092,Yes
input2D.inp,8,2,4,0.010573,Yes
input2D.inp,8,2,5,0.010509,Yes
input2D.inp,8,4,1,0.010948,Yes
input2D.inp,8,4,2,0.009908,Yes
input2D.inp,8,4,3,0.011779,Yes
input2D.inp,8,4,4,0.01023,Yes
input2D.inp,8,4,5,0.010867,Yes
input2D.inp,8,8,1,0.012958,Yes
input2D.inp,8,8,2,0.035263,Yes
input2D.inp,8,8,3,0.012903,Yes
input2D.inp,8,8,4,0.0141,Yes
input2D.inp,8,8,5,0.01536,Yes
input2D.inp,8,16,1,0.036599,Yes
input2D.inp,8,16,2,0.043883,Yes
input2D.inp,8,16,3,0.061234,Yes
input2D.inp,8,16,4,0.054069,Yes
input2D.inp,8,16,5,0.06431,Yes
input2D.inp,8,32,1,0.068033,Yes
input2D.inp,8,32,2,0.068328,Yes
input2D.inp,8,32,3,0.075583,Yes
input2D.inp,8,32,4,0.074754,Yes
input2D.inp,8,32,5,0.068012,Yes
