Test File,Processes,Threads,Run,Computation Time (s),Matches Sequential
200k_100.inp,8,8,3,1.115182,Yes
200k_100.inp,8,8,4,1.068522,Yes
200k_100.inp,8,8,5,1.046111,Yes
200k_100.inp,8,16,1,0.597732,Yes
200k_100.inp,8,16,2,0.753944,Yes
200k_100.inp,8,16,3,0.607113,Yes
200k_100.inp,8,16,4,0.627217,Yes
200k_100.inp,8,16,5,0.619471,Yes
200k_100.inp,8,32,1,0.550447,Yes
200k_100.inp,8,32,2,0.517843,Yes
200k_100.inp,8,32,3,0.530485,Yes
200k_100.inp,8,32,4,0.519712,Yes
200k_100.inp,8,32,5,0.51599,Yes
400k_100.inp,2,2,1,21.124003,Yes
400k_100.inp,2,2,2,21.092446,Yes
400k_100.inp,2,2,3,21.048751,Yes
400k_100.inp,2,2,4,21.078806,Yes
400k_100.inp,2,2,5,21.443489,Yes
400k_100.inp,2,4,1,10.902525,Yes
400k_100.inp,2,4,2,10.698008,Yes
400k_100.inp,2,4,3,10.650084,Yes
400k_100.inp,2,4,4,12.059996,Yes
400k_100.inp,2,4,5,12.149936,Yes
400k_100.inp,2,8,1,5.913764,Yes
400k_100.inp,2,8,2,6.527693,Yes
400k_100.inp,2,8,3,5.934254,Yes
400k_100.inp,2,8,4,6.089114,Yes
400k_100.inp,2,8,5,6.033361,Yes
400k_100.inp,2,16,1,3.06888,Yes
400k_100.inp,2,16,2,2.814684,Yes
400k_100.inp,2,16,3,3.478934,Yes
400k_100.inp,2,16,4,2.987876,Yes
400k_100.inp,2,16,5,2.881414,Yes
400k_100.inp,2,32,1,2.375103,Yes
400k_100.inp,2,32,2,2.354533,Yes
400k_100.inp,2,32,3,2.070412,Yes
400k_100.inp,2,32,4,1.962637,Yes
400k_100.inp,2,32,5,3.042129,Yes
400k_100.inp,4,2,1,10.663127,Yes
400k_100.inp,4,2,2,10.685695,Yes
400k_100.inp,4,2,3,10.685582,Yes
400k_100.inp,4,2,4,10.662377,Yes
400k_100.inp,4,2,5,10.619809,Yes
400k_100.inp,4,4,1,5.603757,Yes
400k_100.inp,4,4,2,5.898742,Yes
400k_100.inp,4,4,3,5.699974,Yes
400k_100.inp,4,4,4,6.051116,Yes
400k_100.inp,4,4,5,6.348214,Yes
400k_100.inp,4,8,1,3.499764,Yes
400k_100.inp,4,8,2,3.457347,Yes
400k_100.inp,4,8,3,3.344975,Yes
400k_100.inp,4,8,4,3.386571,Yes
400k_100.inp,4,8,5,3.287393,Yes
400k_100.inp,4,16,1,1.854309,Yes
400k_100.inp,4,16,2,1.873938,Yes
400k_100.inp,4,16,3,1.812149,Yes
400k_100.inp,4,16,4,1.773721,Yes
400k_100.inp,4,16,5,1.814718,Yes
400k_100.inp,4,32,1,1.426518,Yes
400k_100.inp,4,32,2,1.494226,Yes
400k_100.inp,4,32,3,3.432223,Yes
400k_100.inp,4,32,4,1.368863,Yes
400k_100.inp,4,32,5,1.322873,Yes
400k_100.inp,8,2,1,5.482843,Yes
400k_100.inp,8,2,2,5.761895,Yes
400k_100.inp,8,2,3,5.651231,Yes
400k_100.inp,8,2,4,5.662768,Yes
400k_100.inp,8,2,5,5.75569,Yes
400k_100.inp,8,4,1,3.140175,Yes
400k_100.inp,8,4,2,3.118849,Yes
400k_100.inp,8,4,3,3.100514,Yes
400k_100.inp,8,4,4,3.111714,Yes
400k_100.inp,8,4,5,3.091972,Yes
400k_100.inp,8,8,1,1.8595,Yes
400k_100.inp,8,8,2,1.878311,Yes
400k_100.inp,8,8,3,1.835794,Yes
400k_100.inp,8,8,4,1.859455,Yes
400k_100.inp,8,8,5,1.929072,Yes
400k_100.inp,8,16,1,1.185909,Yes
400k_100.inp,8,16,2,1.129647,Yes
400k_100.inp,8,16,3,1.207986,Yes
400k_100.inp,8,16,4,1.16606,Yes
400k_100.inp,8,16,5,1.178849,Yes
400k_100.inp,8,32,1,0.959592,Yes
400k_100.inp,8,32,2,0.985305,Yes
400k_100.inp,8,32,3,0.970046,Yes
400k_100.inp,8,32,4,1.019754,Yes
400k_100.inp,8,32,5,1.038121,Yes
800k_100.inp,2,2,1,48.770416,Yes
800k_100.inp,2,2,2,46.79315,Yes
800k_100.inp,2,2,3,46.156151,Yes
800k_100.inp,2,2,4,45.953148,Yes
800k_100.inp,2,2,5,47.994103,Yes
800k_100.inp,2,4,1,25.819514,Yes
800k_100.inp,2,4,2,22.984409,Yes
800k_100.inp,2,4,3,23.212952,Yes
800k_100.inp,2,4,4,23.347715,Yes
800k_100.inp,2,4,5,23.346103,Yes
800k_100.inp,2,8,1,11.830174,Yes
800k_100.inp,2,8,2,11.813058,Yes
800k_100.inp,2,8,3,11.853697,Yes
800k_100.inp,2,8,4,11.907195,Yes
800k_100.inp,2,8,5,14.26763,Yes
